,index,Instance, Product/Description, Migrations, Days, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
328,520,c3.4xlarge, Windows,1,320,6904.320000000006,5948.102399999979,0,0,956.2176000000273
329,151,c5n.4xlarge, Red Hat Enterprise Linux,10,322,3076.223999999995,2125.2925000000027,0,0,950.9314999999924
330,135,c5n.2xlarge, Linux/UNIX,27,406,1775.3628000000006,827.4930999999989,91,0,947.8697000000017
331,878,r5d.4xlarge, SUSE Linux,32,407,4281.295399999998,3346.175300000005,33,0,935.1200999999933
332,347,i2.4xlarge, Linux/UNIX,8,406,10902.098699999953,9968.111999999932,19,0,933.9867000000197
333,336,i2.4xlarge, SUSE Linux,8,406,11876.498699999986,10942.511999999979,19,0,933.9867000000047
334,110,c5n.4xlarge, Windows,2,407,9585.525299999992,8666.336699999987,0,0,919.1886000000051
335,712,r4.2xlarge, Linux/UNIX,29,407,1723.8076000000005,815.1611999999982,82,0,908.6464000000025
336,464,c5.4xlarge, SUSE Linux,38,407,3930.0995999999977,3023.1448000000005,0,0,906.9547999999972
337,100,r5.8xlarge, SUSE Linux,13,307,4851.1094,3949.399799999997,0,0,901.7096000000032
338,800,m5ad.2xlarge, Red Hat Enterprise Linux,27,323,2576.193199999997,1678.3121000000033,57,0,897.8810999999935
339,431,m5d.8xlarge, SUSE Linux,6,221,3720.7564999999986,2826.5568000000044,19,0,894.1996999999948
340,122,m5.16xlarge, SUSE Linux,1,221,6013.863000000013,5121.615000000006,0,0,892.2480000000069
341,858,r5ad.2xlarge, SUSE Linux,30,400,3137.547500000006,2269.281500000008,78,16,868.2659999999977
342,85,g3.16xlarge, Linux/UNIX,17,406,14192.330100000096,13329.792000000083,15,0,862.5381000000107
343,86,g3.16xlarge, SUSE Linux,15,406,15166.73009999999,14304.19199999999,15,0,862.5380999999996
344,478,r5d.2xlarge, Linux/UNIX,19,407,1745.3943999999995,893.4033999999987,0,0,851.9910000000011
345,587,p2.xlarge, Linux/UNIX,61,407,3531.548799999998,2682.643900000004,26,0,848.9048999999941
346,566,a1.4xlarge, Linux/UNIX,1,320,1463.2720000000013,615.8400000000047,106,0,847.4319999999966
347,168,d2.2xlarge, Red Hat Enterprise Linux,1,323,5054.304000000021,4219.680000000007,0,0,834.6240000000142
348,599,r5a.4xlarge, Red Hat Enterprise Linux,7,323,3139.929900000009,2311.7514000000065,0,0,828.1785000000023
349,884,r5a.4xlarge, SUSE Linux,14,407,4113.985799999996,3289.1937000000007,0,0,824.7920999999956
350,589,p2.xlarge, SUSE Linux,60,407,4508.348800000002,3683.6922000000227,10,0,824.6565999999804
351,584,p2.xlarge, Red Hat Enterprise Linux,56,323,3407.192900000003,2591.7745000000086,0,0,815.4183999999947
352,541,p3.16xlarge, SUSE Linux,19,407,73531.83700000052,72744.70500000048,0,0,787.132000000056
353,557,p3.16xlarge, Linux/UNIX,19,407,72555.03700000001,71767.9050000001,0,0,787.1319999999105
354,771,r5a.2xlarge, Linux/UNIX,24,406,1610.2735000000007,826.3842999999954,19,0,783.8892000000052
