Instance, Product/Description, Days, MigrationsMin, SumStartingInstance, SumMigrations, Difference
g3.16xlarge, SUSE Linux, 387, 14, 13669.521199999994, 13634.78399999999, 34.73720000000321
t2.micro, Red Hat Enterprise Linux, 308, 2, 484.9360000000035, 469.61520000000024, 15.32080000000326
t2.micro, SUSE Linux, 387, 4, 125.4403999999995, 125.38799999999952, 0.052399999999977354
g3.8xlarge, Red Hat Enterprise Linux, 305, 20, 8286.239999999963, 5976.962200000016, 2309.277799999947
m4.2xlarge, Red Hat Enterprise Linux, 308, 26, 2162.2923000000014, 1578.9321000000007, 583.3602000000008
t3a.2xlarge, Red Hat Enterprise Linux, 304, 2, 1775.1167999999868, 1495.1735999999937, 279.9431999999931
g3.8xlarge, SUSE Linux, 301, 19, 5689.590799999972, 5663.615999999965, 25.974800000006326
g3.8xlarge, Linux/UNIX, 301, 15, 4967.190800000018, 4941.216000000024, 25.974799999993593
g3.4xlarge, SUSE Linux, 301, 28, 3411.666000000012, 3315.785000000016, 95.88099999999577
g3.4xlarge, Windows, 301, 0, 7787.4720000000325, 7787.4720000000325, 0.0
m4.2xlarge, SUSE Linux, 388, 26, 2358.8556000000017, 1917.0374999999979, 441.8181000000038
m5.24xlarge, Windows, 388, 1, 56321.76960000011, 50186.517599999985, 6135.252000000124
c5n.9xlarge, Linux/UNIX, 387, 9, 5898.2168000000065, 3493.995899999983, 2404.2209000000234
t3a.micro, Linux/UNIX, 351, 4, 24.81139999999996, 20.347200000000008, 4.464199999999952
r5.8xlarge, SUSE Linux, 288, 11, 4558.539800000002, 3751.2584999999995, 807.2813000000028
c5n.9xlarge, Red Hat Enterprise Linux, 304, 8, 5731.763100000004, 3461.8583999999855, 2269.9047000000182
t2.2xlarge, Linux/UNIX, 388, 3, 1044.4322999999965, 1037.3567999999952, 7.075500000001284
t3a.micro, Red Hat Enterprise Linux, 304, 5, 465.19789999999915, 454.9655999999976, 10.232300000001544
r4.8xlarge, Linux/UNIX, 388, 14, 5456.333000000003, 3057.4032999999986, 2398.9297000000047
t1.micro, SUSE Linux, 387, 1, 111.45599999999912, 111.45599999999912, 0.0
m5.2xlarge, Red Hat Enterprise Linux, 308, 40, 2230.153100000001, 1629.6012000000003, 600.5519000000006
t1.micro, Red Hat Enterprise Linux, 308, 1, 463.86039999999804, 458.3711999999999, 5.4891999999981635
t1.micro, Linux/UNIX, 387, 1, 18.57599999999992, 18.57599999999992, 0.0
t1.micro, Windows, 387, 1, 18.57599999999992, 18.57599999999992, 0.0
c5n.4xlarge, Windows, 388, 1, 9131.759700000002, 8215.949400000009, 915.8102999999937
m5.2xlarge, Linux/UNIX, 387, 61, 1521.4578000000006, 838.6665999999997, 682.7912000000009
