Instance, Product/Description, Migrations, Days, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
m4.2xlarge, Windows, 1, 407, 4859.579999999991, 4348.5479999999825, 0, 0, 511.03200000000834
g3.4xlarge, Red Hat Enterprise Linux, 38, 323, 3839.6693999999966, 3663.181699999993, 0, 0, 176.48770000000377
g3.4xlarge, Linux/UNIX, 25, 406, 3594.3221000000103, 3348.760600000021, 0, 0, 245.56149999998934
g3.16xlarge, Red Hat Enterprise Linux, 10, 323, 16542.768000000076, 11634.002399999974, 0, 0, 4908.7656000001025
m4.4xlarge, Red Hat Enterprise Linux, 63, 327, 3487.103999999983, 2475.6586000000016, 0, 0, 1011.4453999999814
g3.16xlarge, Linux/UNIX, 17, 406, 14192.330100000094, 13329.792000000083, 15, 0, 862.5381000000107
g3.16xlarge, SUSE Linux, 15, 406, 15166.73009999999, 14304.19199999999, 15, 0, 862.5380999999998
t2.micro, Red Hat Enterprise Linux, 2, 327, 514.8496000000038, 498.57120000000026, 0, 0, 16.2784000000035
t2.micro, SUSE Linux, 4, 406, 131.59639999999962, 131.54399999999964, 0, 0, 0.052399999999977354
g3.8xlarge, Red Hat Enterprise Linux, 19, 324, 8802.431999999957, 6344.928000000017, 0, 0, 2457.50399999994
m4.2xlarge, Red Hat Enterprise Linux, 28, 327, 2295.9915, 1678.8396000000005, 0, 0, 617.1518999999996
t3a.2xlarge, Red Hat Enterprise Linux, 2, 323, 1886.0615999999848, 1581.323399999992, 0, 0, 304.73819999999273
g3.8xlarge, SUSE Linux, 19, 320, 6047.09479999997, 6021.119999999962, 0, 0, 25.974800000008145
g3.8xlarge, Linux/UNIX, 15, 320, 5279.094800000021, 5253.120000000027, 0, 0, 25.974799999993593
g3.4xlarge, SUSE Linux, 34, 406, 4568.722100000024, 4454.675000000036, 0, 0, 114.04709999998795
g3.4xlarge, Windows, 0, 320, 8279.040000000035, 8279.040000000035, 0, 0, 0.0
m4.2xlarge, SUSE Linux, 20, 407, 2466.943200000002, 2001.9206999999967, 0, 0, 465.02250000000527
m5.24xlarge, Windows, 1, 407, 59079.794400000144, 52636.970399999984, 0, 0, 6442.824000000161
c5n.9xlarge, Linux/UNIX, 15, 406, 8208.399900000004, 3759.1453999999803, 124, 0, 4449.254500000024
t3a.micro, Linux/UNIX, 2, 370, 26.08819999999998, 21.20990000000001, 0, 0, 4.878299999999967
r5.8xlarge, SUSE Linux, 13, 307, 4851.1094, 3949.399799999997, 0, 0, 901.7096000000033
c5n.9xlarge, Red Hat Enterprise Linux, 7, 323, 6077.264500000002, 3680.8711999999823, 0, 0, 2396.3933000000197
t2.2xlarge, Linux/UNIX, 3, 407, 1095.230699999996, 1088.1551999999967, 0, 0, 7.075499999999238
t3a.micro, Red Hat Enterprise Linux, 3, 323, 494.1538999999991, 483.1882999999972, 0, 0, 10.965600000001928
r4.8xlarge, Linux/UNIX, 14, 407, 5725.317900000003, 3201.383399999997, 0, 0, 2523.9345000000058
t1.micro, SUSE Linux, 1, 406, 116.92799999999906, 116.92799999999906, 0, 0, 0.0
m5.2xlarge, Red Hat Enterprise Linux, 47, 327, 2367.545900000004, 1730.7457000000004, 0, 0, 636.8002000000038
t1.micro, Red Hat Enterprise Linux, 1, 327, 492.4515999999979, 486.64319999999987, 0, 0, 5.8083999999980165
t1.micro, Linux/UNIX, 1, 406, 19.487999999999886, 19.487999999999886, 0, 0, 0.0
t1.micro, Windows, 1, 406, 19.487999999999886, 19.487999999999886, 0, 0, 0.0
c5n.4xlarge, Windows, 2, 407, 9585.525299999992, 8666.336699999987, 0, 0, 919.188600000005
m5.2xlarge, Linux/UNIX, 67, 406, 1589.9843000000014, 874.7296999999995, 0, 0, 715.2546000000019
r5a.12xlarge, Red Hat Enterprise Linux, 3, 323, 7548.160299999975, 4950.782400000002, 6, 0, 2597.377899999973
m5.24xlarge, SUSE Linux, 15, 407, 17284.485299999928, 13727.273100000011, 0, 0, 3557.2121999999163
t3a.medium, Windows, 5, 370, 263.73599999999806, 247.90440000000098, 0, 0, 15.831599999997081
t2.2xlarge, Red Hat Enterprise Linux, 4, 327, 2421.892800000001, 1900.9583999999913, 0, 0, 520.9344000000096
c5n.large, Red Hat Enterprise Linux, 12, 323, 721.3063999999987, 614.7383999999986, 0, 0, 106.5680000000001
t2.2xlarge, SUSE Linux, 3, 407, 2072.0306999999975, 2064.9551999999944, 0, 0, 7.075500000003103
m5.24xlarge, Linux/UNIX, 13, 407, 16307.685299999961, 9695.559899999973, 0, 0, 6612.125399999988
m5.24xlarge, Red Hat Enterprise Linux, 14, 327, 17154.943200000045, 8900.617800000013, 0, 0, 8254.325400000032
m5.16xlarge, Windows, 0, 307, 26395.70019999989, 26395.70019999989, 0, 0, 0.0
c5n.large, Windows, 2, 407, 1215.139199999993, 1087.4591999999955, 0, 0, 127.67999999999756
m5.16xlarge, SUSE Linux, 1, 221, 6013.863000000013, 5121.615000000006, 0, 0, 892.2480000000069
c5n.9xlarge, Windows, 4, 407, 21870.55200000018, 19947.862499999967, 0, 0, 1922.689500000215
c5n.large, Linux/UNIX, 15, 407, 328.1136000000001, 188.99179999999922, 0, 0, 139.12180000000086
r4.4xlarge, Windows, 1, 407, 9840.283200000056, 8769.503999999914, 0, 0, 1070.7792000001427
t3a.nano, Linux/UNIX, 29, 370, 14.776599999999995, 10.497699999999922, 34, 0, 4.278900000000073
r5n.8xlarge, Red Hat Enterprise Linux, 1, 202, 2252.573499999996, 2252.573499999996, 0, 0, 0.0
m5.8xlarge, Red Hat Enterprise Linux, 15, 307, 3319.047799999986, 3316.195899999985, 0, 0, 2.8519000000010237
r5.16xlarge, Red Hat Enterprise Linux, 1, 307, 5886.295200000019, 5886.295200000019, 0, 0, 0.0
r5.8xlarge, Red Hat Enterprise Linux, 13, 307, 3472.787899999995, 3444.2283999999972, 0, 0, 28.55949999999757
c5n.18xlarge, Windows, 1, 406, 43632.65759999976, 39030.50399999994, 0, 0, 4602.153599999816
m5.8xlarge, SUSE Linux, 7, 221, 3271.970499999999, 2831.791200000004, 0, 0, 440.1792999999948
r5n.8xlarge, Linux/UNIX, 1, 202, 1622.3335000000034, 1622.3335000000034, 0, 0, 0.0
m5.4xlarge, Windows, 1, 407, 9847.120800000064, 8772.520799999917, 0, 0, 1074.6000000001477
c5n.2xlarge, Linux/UNIX, 27, 406, 1775.3628000000006, 827.493099999999, 91, 0, 947.8697000000016
r5n.8xlarge, Windows, 0, 202, 8758.425999999985, 8758.425999999985, 0, 0, 0.0
m5.8xlarge, Linux/UNIX, 15, 307, 2361.2077999999933, 2358.355899999992, 0, 0, 2.8519000000014785
c5n.18xlarge, Red Hat Enterprise Linux, 15, 322, 10014.71519999999, 6369.386200000032, 0, 0, 3645.328999999958
c5d.xlarge, Windows, 1, 406, 2424.307199999986, 2168.3135999999913, 0, 0, 255.99359999999479
m5.large, Windows, 1, 406, 1227.7439999999926, 1094.015999999999, 0, 0, 133.7279999999937
c5n.18xlarge, Linux/UNIX, 21, 407, 11390.016199999922, 6802.294899999932, 0, 0, 4587.72129999999
r4.4xlarge, SUSE Linux, 14, 407, 4390.876400000004, 3195.4752000000003, 1, 0, 1195.4012000000034
m5.large, Linux/UNIX, 45, 407, 396.8691000000001, 199.3926999999992, 1, 0, 197.47640000000092
m5.8xlarge, Windows, 1, 307, 13198.282800000077, 13198.282800000077, 0, 0, 0.0
m5.large, SUSE Linux, 33, 407, 1373.6690999999998, 1241.812200000002, 0, 0, 131.85689999999795
m5.large, Red Hat Enterprise Linux, 47, 327, 824.7456999999986, 632.8686000000007, 0, 0, 191.87709999999788
m5.2xlarge, Windows, 2, 407, 4923.07199999997, 4387.087199999958, 0, 0, 535.984800000012
c5n.2xlarge, Windows, 4, 406, 4847.639999999991, 4406.394599999982, 0, 0, 441.2454000000089
c5n.4xlarge, Linux/UNIX, 14, 407, 3668.9108999999967, 1486.6942999999985, 69, 0, 2182.216599999998
m5.4xlarge, Linux/UNIX, 66, 407, 2807.5672, 1849.862400000001, 0, 0, 957.7047999999991
c5n.4xlarge, Red Hat Enterprise Linux, 10, 322, 3076.223999999995, 2125.2925000000027, 0, 0, 950.9314999999924
m5.2xlarge, SUSE Linux, 34, 406, 2564.3842999999983, 2066.209000000004, 0, 0, 498.1752999999944
c5n.2xlarge, Red Hat Enterprise Linux, 16, 323, 2102.075799999999, 1609.7797999999962, 0, 0, 492.296000000003
t3a.micro, Windows, 1, 370, 106.55999999999918, 102.90590000000032, 0, 0, 3.654099999998863
m5.4xlarge, SUSE Linux, 38, 407, 3784.367200000001, 3235.0822999999955, 0, 0, 549.2849000000056
m5.4xlarge, Red Hat Enterprise Linux, 50, 327, 3711.5146999999993, 2517.9743000000003, 0, 0, 1193.540399999999
r5n.large, Windows, 0, 202, 547.3991000000021, 547.3991000000021, 0, 0, 0.0
t3a.micro, SUSE Linux, 5, 370, 712.8867000000004, 685.8731000000028, 0, 0, 27.01359999999761
r5n.large, Linux/UNIX, 1, 202, 101.3798999999995, 101.37429999999948, 0, 0, 0.0056000000000153705
r5n.large, Red Hat Enterprise Linux, 1, 202, 392.25989999999905, 392.25429999999903, 0, 0, 0.0056000000000153705
t2.large, SUSE Linux, 3, 407, 1258.7077999999967, 1248.3503999999914, 0, 0, 10.357400000005327
d2.2xlarge, Windows, 0, 406, 6187.439999999942, 6187.439999999942, 0, 0, 0.0
t3a.large, Windows, 2, 370, 446.08129999999755, 414.11790000000315, 0, 0, 31.963399999994408
m4.xlarge, SUSE Linux, 28, 407, 1698.4717000000003, 1488.2311999999908, 0, 0, 210.24050000000943
d2.2xlarge, SUSE Linux, 0, 406, 5008.415999999984, 5008.415999999984, 0, 0, 0.0
t2.large, Windows, 0, 407, 545.0544000000018, 545.0544000000018, 0, 0, 0.0
d2.4xlarge, Linux/UNIX, 0, 407, 8087.904000000046, 8087.904000000046, 0, 0, 0.0
d2.2xlarge, Red Hat Enterprise Linux, 1, 323, 5054.304000000021, 4219.680000000007, 0, 0, 834.6240000000143
t2.large, Red Hat Enterprise Linux, 5, 327, 820.9008000000011, 690.8400000000007, 0, 0, 130.06080000000043
m4.xlarge, Red Hat Enterprise Linux, 43, 327, 1087.7523000000012, 788.4427999999976, 0, 0, 299.3095000000036
d2.4xlarge, SUSE Linux, 0, 407, 9064.704000000014, 9064.704000000014, 0, 0, 0.0
d2.4xlarge, Windows, 0, 407, 11037.840000000055, 11037.840000000055, 0, 0, 0.0
m4.xlarge, Linux/UNIX, 55, 407, 721.5734000000008, 388.72189999999983, 63, 0, 332.85150000000095
d2.4xlarge, Red Hat Enterprise Linux, 1, 323, 9100.848000000033, 7431.600000000041, 0, 0, 1669.2479999999914
m4.xlarge, Windows, 1, 406, 2424.307199999986, 2168.3135999999913, 0, 0, 255.99359999999479
m5.12xlarge, Windows, 1, 406, 29467.80479999991, 26245.915199999992, 0, 0, 3221.8895999999186
c5n.metal, Windows, 2, 264, 26762.188599999958, 26762.128699999957, 0, 0, 0.059900000000197906
t2.2xlarge, Windows, 0, 407, 1693.7711999999888, 1693.7711999999888, 0, 0, 0.0
r5.16xlarge, Linux/UNIX, 1, 307, 4928.45520000003, 4928.45520000003, 0, 0, 0.0
t3a.medium, Red Hat Enterprise Linux, 3, 324, 577.8090999999996, 538.7373999999974, 0, 0, 39.07170000000224
m5.12xlarge, SUSE Linux, 37, 407, 10400.964600000001, 7518.517600000013, 3, 0, 2882.4469999999883
c5n.xlarge, Linux/UNIX, 12, 407, 709.7508000000006, 378.3879999999996, 19, 0, 331.362800000001
