Instance, Product/Description, Region, Migrations, SumStartingInstance, DaysStartingInstance, SumMigrations, DaysMigrations, Difference
r5.xlarge, Windows, ap-southeast-1, 0, 99.98999999999947, 396, 99.99000000000004, 396, -5.684341886080801e-13
r5.xlarge, Windows, ap-southeast-2, 1, 102.88079999999951, 396, 102.88080000000004, 396, -5.258016244624741e-13
r5.xlarge, Windows, ca-central-1, 2, 98.0496000000005, 396, 98.04960000000004, 396, 4.547473508864641e-13
r5.xlarge, Windows, eu-central-1, 0, 101.73240000000055, 396, 101.73239999999998, 396, 5.684341886080801e-13
r5.xlarge, Windows, eu-north-1, 0, 96.66360000000078, 396, 96.66360000000003, 396, 7.531752999057062e-13
r5.xlarge, Windows, eu-west-1, 2, 102.82052083333257, 396, 102.82049999999995, 396, 2.083333261282405e-05
r5.xlarge, Windows, eu-west-2, 0, 100.2276000000009, 396, 100.22759999999997, 396, 9.379164112033322e-13
r5.xlarge, Windows, eu-west-3, 0, 99.27719999999943, 396, 99.27720000000004, 396, -6.110667527536862e-13
r5.xlarge, Windows, sa-east-1, 10, 52.3489700000003, 198, 52.33448250000001, 198, 0.014487500000292641
r5.xlarge, Windows, us-east-1, 2, 101.04174999999921, 396, 101.04172499999999, 396, 2.4999999226338332e-05
r5.xlarge, Windows, us-east-2, 2, 89.37976666666658, 396, 89.37975, 396, 1.6666666581954814e-05
r5.xlarge, Windows, us-west-1, 1, 78.02699999999989, 310, 99.67319999999998, 396, -21.646200000000093
r5.xlarge, Windows, us-west-2, 2, 100.89558750000072, 396, 100.89557500000001, 396, 1.2500000707404979e-05
t2.medium, SUSE Linux, ap-northeast-1, 0, 46.80720000000041, 396, 46.80719999999997, 396, 4.334310688136611e-13
t2.medium, SUSE Linux, ap-northeast-2, 0, 20.87940000000003, 178, 20.879400000000004, 178, 2.4868995751603507e-14
t2.medium, SUSE Linux, ap-south-1, 4, 21.07296833333328, 182, 21.069068333333334, 182, 0.0038999999999447255
t2.medium, SUSE Linux, ap-southeast-1, 0, 46.5299999999999, 396, 46.53, 396, -9.947598300641403e-14
t2.medium, SUSE Linux, ap-southeast-2, 0, 46.5299999999999, 396, 46.53, 396, -9.947598300641403e-14
t2.medium, SUSE Linux, ca-central-1, 0, 20.4258, 177, 20.425800000000002, 177, -3.552713678800501e-15
t2.medium, SUSE Linux, eu-central-1, 0, 45.97560000000025, 396, 45.97560000000001, 396, 2.4158453015843406e-13
t2.medium, SUSE Linux, eu-west-1, 0, 45.54000000000004, 396, 45.54000000000002, 396, 2.1316282072803006e-14
t2.medium, SUSE Linux, eu-west-2, 0, 20.576800000000055, 178, 20.576800000000002, 178, 5.3290705182007514e-14
t2.medium, SUSE Linux, eu-west-3, 0, 20.61240000000002, 178, 20.612399999999997, 178, 2.1316282072803006e-14
t2.medium, SUSE Linux, sa-east-1, 4, 48.43080000000021, 396, 48.43080000000002, 396, 1.9184653865522705e-13
t2.medium, SUSE Linux, us-east-1, 4, 45.16162500000016, 396, 45.104400000000034, 396, 0.057225000000123316
t2.medium, SUSE Linux, us-east-2, 2, 20.730612500000003, 182, 20.730245833333342, 182, 0.00036666666666107517
t2.medium, SUSE Linux, us-west-1, 1, 36.1459999999997, 310, 46.17360000000001, 396, -10.027600000000305
t2.medium, SUSE Linux, us-west-2, 5, 45.14929583333347, 396, 45.104991666666706, 396, 0.04430416666676251
f1.2xlarge, Red Hat Enterprise Linux, ap-southeast-2, 1, 181.82824166666643, 111, 363.37424166666653, 197, -181.5460000000001
f1.2xlarge, Red Hat Enterprise Linux, eu-west-1, 0, 217.86349999999885, 323, 217.8635, 323, -1.1368683772161603e-12
f1.2xlarge, Red Hat Enterprise Linux, us-east-1, 4, 245.8151458333333, 324, 202.5, 324, 43.315145833333304
f1.2xlarge, Red Hat Enterprise Linux, us-west-2, 0, 199.375, 319, 199.375, 319, 0.0
g2.2xlarge, Linux/UNIX, ap-northeast-1, 2, 107.36681250000049, 396, 107.33924583333335, 396, 0.02756666666714125
g2.2xlarge, Linux/UNIX, ap-southeast-1, 0, 118.79999999999923, 396, 118.79999999999995, 396, -7.247535904753022e-13
g2.2xlarge, Linux/UNIX, ap-southeast-2, 1, 109.38052083333388, 396, 109.38052083333335, 396, 5.258016244624741e-13
g2.2xlarge, Linux/UNIX, eu-central-1, 5, 91.71360000000008, 396, 91.71359999999999, 396, 9.947598300641403e-14
g2.2xlarge, Linux/UNIX, eu-west-1, 0, 83.39759999999981, 396, 83.39759999999998, 396, -1.7053025658242404e-13
g2.2xlarge, Linux/UNIX, us-east-1, 5, 77.21999999999963, 396, 77.22, 396, -3.694822225952521e-13
g2.2xlarge, Linux/UNIX, us-west-1, 7, 65.62987916666656, 310, 83.39759999999998, 396, -17.767720833333428
g2.2xlarge, Linux/UNIX, us-west-2, 0, 77.21999999999963, 396, 77.22, 396, -3.694822225952521e-13
t3a.large, Linux/UNIX, ap-northeast-1, 0, 8.433049999999987, 287, 8.433049999999996, 287, -8.881784197001252e-15
t3a.large, Linux/UNIX, ap-northeast-2, 0, 8.058389460784333, 287, 8.058389460784316, 287, 1.7763568394002505e-14
t3a.large, Linux/UNIX, ap-south-1, 1, 2.5274767857142866, 171, 2.5274767857142857, 171, 8.881784197001252e-16
t3a.large, Linux/UNIX, ap-southeast-1, 0, 10.527599999999962, 372, 10.5276, 372, -3.730349362740526e-14
t3a.large, Linux/UNIX, ap-southeast-2, 1, 8.17374728260873, 287, 8.173747282608698, 287, 3.197442310920451e-14
t3a.large, Linux/UNIX, ca-central-1, 0, 7.1975833333333545, 287, 7.197583333333335, 287, 1.9539925233402755e-14
t3a.large, Linux/UNIX, eu-central-1, 0, 7.431402173913052, 287, 7.431402173913043, 287, 8.881784197001252e-15
t3a.large, Linux/UNIX, eu-west-1, 6, 9.127141666666644, 372, 9.114000000000003, 372, 0.013141666666641072
t3a.large, Linux/UNIX, eu-west-2, 1, 7.313095833333352, 287, 7.313095833333334, 287, 1.865174681370263e-14
t3a.large, Linux/UNIX, eu-west-3, 1, 7.318500000000019, 287, 7.3185, 287, 1.865174681370263e-14
t3a.large, Linux/UNIX, sa-east-1, 1, 7.183083712121181, 198, 7.183083712121211, 198, -3.019806626980426e-14
t3a.large, Linux/UNIX, us-east-1, 8, 8.42923749999998, 372, 8.407200000000003, 372, 0.022037499999976617
t3a.large, Linux/UNIX, us-east-2, 0, 8.407199999999976, 372, 8.407200000000003, 372, -2.6645352591003757e-14
t3a.large, Linux/UNIX, us-west-1, 4, 7.682810326086927, 287, 7.6828103260869565, 287, -2.930988785010413e-14
t3a.large, Linux/UNIX, us-west-2, 2, 8.407199999999976, 372, 8.407200000000003, 372, -2.6645352591003757e-14
f1.4xlarge, SUSE Linux, ap-southeast-2, 1, 189.60044761904788, 111, 302.32077499999986, 197, -112.72032738095197
f1.4xlarge, SUSE Linux, eu-west-1, 0, 470.8440000000027, 396, 470.844, 396, 2.7284841053187847e-12
f1.4xlarge, SUSE Linux, us-east-1, 4, 543.8519083333306, 396, 431.64, 396, 112.2119083333306
f1.4xlarge, SUSE Linux, us-west-2, 5, 432.26962499999667, 396, 432.26163333333335, 396, 0.0079916666633153
f1.4xlarge, Red Hat Enterprise Linux, ap-southeast-2, 1, 192.93044761904792, 111, 308.230775, 197, -115.30032738095207
f1.4xlarge, Red Hat Enterprise Linux, eu-west-1, 0, 393.7369999999985, 323, 393.7370000000002, 323, -1.7053025658242404e-12
f1.4xlarge, Red Hat Enterprise Linux, us-east-1, 3, 833.9043541666648, 324, 362.8800000000003, 324, 471.0243541666645
f1.4xlarge, Red Hat Enterprise Linux, us-west-2, 0, 360.6400000000011, 322, 360.64000000000027, 322, 8.526512829121202e-13
f1.2xlarge, Linux/UNIX, ap-southeast-2, 3, 167.3982416666666, 111, 337.76424166666686, 197, -170.36600000000027
f1.2xlarge, Linux/UNIX, eu-west-1, 0, 215.62199999999976, 396, 215.622, 396, -2.5579538487363607e-13
f1.2xlarge, Linux/UNIX, us-east-1, 4, 239.33514583333425, 396, 196.01999999999992, 396, 43.31514583333433
f1.2xlarge, Linux/UNIX, us-west-2, 0, 196.02000000000106, 396, 196.01999999999992, 396, 1.1368683772161603e-12
t2.medium, Red Hat Enterprise Linux, ap-northeast-1, 0, 24.78939999999994, 317, 24.78940000000001, 317, -7.105427357601002e-14
t2.medium, Red Hat Enterprise Linux, ap-northeast-2, 0, 24.504100000000047, 317, 24.504099999999987, 317, 6.039613253960852e-14
t2.medium, Red Hat Enterprise Linux, ap-south-1, 6, 24.657524999999993, 322, 24.653595833333327, 322, 0.003929166666665651
t2.medium, Red Hat Enterprise Linux, ap-southeast-1, 0, 25.18750000000011, 325, 25.187499999999982, 325, 1.2789769243681803e-13
t2.medium, Red Hat Enterprise Linux, ap-southeast-2, 0, 24.490000000000105, 316, 24.48999999999998, 316, 1.2434497875801753e-13
t2.medium, Red Hat Enterprise Linux, ca-central-1, 0, 23.826399999999854, 316, 23.826399999999985, 316, -1.3145040611561853e-13
t2.medium, Red Hat Enterprise Linux, eu-central-1, 0, 24.580300000000072, 323, 24.580300000000015, 323, 5.684341886080802e-14
