,Instance, Product/Description, Region, Migrations, SumStartingInstance, DaysStartingInstance, SumMigrations, DaysMigrations, Difference
2588,c5n.xlarge, Red Hat Enterprise Linux, eu-central-1,5,40.83032083333344,323,40.795658928571456,323,0.034661904761989604
4358,g4dn.4xlarge, Red Hat Enterprise Linux, ap-south-1,4,104.50529583333376,197,104.47064583333334,197,0.034650000000411296
4301,g4dn.4xlarge, Linux/UNIX, ap-south-1,6,78.89529583333321,197,78.86064583333334,197,0.03464999999984286
7362,r5.2xlarge, Red Hat Enterprise Linux, eu-west-2,23,85.08532916666634,317,85.0507416666667,317,0.034587499999631184
12190,r5ad.8xlarge, Red Hat Enterprise Linux, ap-south-1,2,8.53842083333333,15,8.503837499999996,15,0.03458333333333385
12204,r5ad.8xlarge, Linux/UNIX, ap-south-1,2,6.588420833333332,15,6.5538374999999975,15,0.03458333333333385
11531,r5ad.8xlarge, SUSE Linux, ap-south-1,2,8.83842083333333,15,8.803837499999998,15,0.03458333333333208
1369,t1.micro, SUSE Linux, eu-west-1,1,4.78639285714286,396,4.752000000000002,396,0.034392857142857565
1401,t1.micro, Linux/UNIX, eu-west-1,1,0.8263928571428578,396,0.7920000000000006,396,0.034392857142857225
1393,t1.micro, Red Hat Enterprise Linux, eu-west-1,1,20.06039285714279,323,20.026000000000018,323,0.03439285714277318
6818,z1d.large, Red Hat Enterprise Linux, us-east-1,5,37.66922916666668,325,37.635,325,0.03422916666668385
834,m4.10xlarge, Red Hat Enterprise Linux, ap-south-1,4,217.87258333333256,322,217.83849166666667,322,0.03409166666588703
10089,r5d.4xlarge, Red Hat Enterprise Linux, eu-central-1,1,136.2754742424247,323,136.2414,323,0.034074242424708245
7524,a1.medium, Red Hat Enterprise Linux, us-west-2,2,21.834266666666707,318,21.80044583333333,318,0.03382083333337249
239,g2.8xlarge, Windows, ap-southeast-2,2,657.5624416666618,396,657.5286249999998,396,0.03381666666177807
10553,c5.xlarge, Red Hat Enterprise Linux, us-east-2,33,32.07522499999994,322,32.04185,322,0.033374999999942645
4171,g4dn.16xlarge, Windows, us-east-2,1,950.339065476188,224,950.3058821428572,224,0.03318333333083956
5288,c5.12xlarge, Windows, us-west-2,2,947.5487999999953,318,947.5156583333332,318,0.033141666662004354
11768,t3a.medium, SUSE Linux, eu-west-1,9,38.39460000000016,372,38.36158333333335,372,0.03301666666681058
12374,r5d.16xlarge, Linux/UNIX, eu-west-1,1,373.87930163043467,309,373.8462891304346,309,0.0330124999999839
12344,r5d.16xlarge, Red Hat Enterprise Linux, eu-west-1,1,414.0493016304332,309,414.01628913043504,309,0.03301249999816491
9247,c5d.4xlarge, Windows, eu-north-1,7,408.81719583333603,396,408.78427083333327,396,0.03292500000270593
1510,c5n.large, Red Hat Enterprise Linux, eu-west-1,10,31.35502083333344,323,31.32216666666667,323,0.03285416666677321
1625,c5n.large, Linux/UNIX, eu-west-1,10,14.486220833333356,396,14.453366666666653,396,0.032854166666696834
11729,c5n.large, SUSE Linux, eu-west-1,10,50.64830416666644,396,50.61544999999998,396,0.03285416666646057
10718,r3.xlarge, SUSE Linux, ap-northeast-2,6,28.525404166666704,178,28.49255833333334,178,0.032845833333364986
10573,r3.xlarge, Red Hat Enterprise Linux, ap-northeast-2,6,38.05760416666665,317,38.024758333333345,317,0.0328458333333117
9904,r3.xlarge, Linux/UNIX, ap-northeast-2,6,23.761804166666533,396,23.72895833333334,396,0.03284583333319446
12289,m5n.16xlarge, SUSE Linux, ap-northeast-1,2,404.9142708333355,190,404.88153333333327,190,0.03273750000221298
10922,m5n.16xlarge, Linux/UNIX, ap-northeast-1,2,381.5621874999986,190,381.52945,190,0.03273749999868869
10944,m5n.16xlarge, Red Hat Enterprise Linux, ap-northeast-1,2,406.26218749999873,190,406.22945,190,0.03273749999863185
7675,m5d.metal, SUSE Linux, us-west-2,7,557.7436458333359,396,557.7109333333332,396,0.03271250000273085
7717,m5d.metal, Linux/UNIX, us-west-2,9,518.1436458333285,396,518.1109333333333,396,0.03271249999522752
1722,c5n.18xlarge, Windows, eu-west-1,2,1831.5823625000112,396,1831.5497583333333,396,0.03260416667762911
3522,i3en.3xlarge, Windows, ap-southeast-2,2,236.93873333333474,228,236.90622083333332,228,0.03251250000144523
12297,r5ad.8xlarge, Windows, ap-northeast-1,3,295.36791916666715,142,295.33544,142,0.03247916666708761
6176,c5.24xlarge, Red Hat Enterprise Linux, eu-west-2,3,519.1656541666684,317,519.133178571429,317,0.0324755952394753
11650,m5a.large, SUSE Linux, us-east-2,8,18.715137499999933,182,18.683104166666666,182,0.03203333333327052
8955,r5d.metal, Linux/UNIX, us-west-2,2,583.2460708333347,344,583.2141458333333,344,0.03192500000125165
11622,r5d.metal, SUSE Linux, us-west-2,2,621.8606541666674,344,621.8287291666669,344,0.03192500000045584
1885,m5.large, Linux/UNIX, us-east-2,44,7.9925224999999775,396,7.960842500000004,396,0.03167999999997306
1933,m5.large, Red Hat Enterprise Linux, us-east-2,44,25.512522499999946,318,25.48084250000001,318,0.031679999999937536
12022,t3a.large, SUSE Linux, eu-west-1,8,42.903100000000045,372,42.87145833333333,372,0.0316416666667152
10118,m5d.12xlarge, Red Hat Enterprise Linux, eu-west-1,2,321.64242083333323,323,321.6110999999998,323,0.031320833333325034
10757,i3en.3xlarge, SUSE Linux, us-west-1,4,167.65721666666582,297,167.62596666666667,297,0.031249999999118924
7390,r3.2xlarge, Linux/UNIX, ap-northeast-1,2,52.62319166666708,396,52.59208750000001,396,0.031104166667077493
6523,r3.2xlarge, SUSE Linux, ap-northeast-1,2,92.22319166666607,396,92.19208750000004,396,0.0311041666660401
12194,r5ad.8xlarge, Red Hat Enterprise Linux, eu-central-1,4,194.20777916666717,213,194.1768875,213,0.030891666667258733
12208,r5ad.8xlarge, Linux/UNIX, eu-central-1,4,166.51777916666566,213,166.4868875000001,213,0.03089166666558185
11535,r5ad.8xlarge, SUSE Linux, eu-central-1,4,192.46986249999887,213,192.43897083333331,213,0.030891666665496587
9938,r5d.8xlarge, Linux/UNIX, eu-west-1,15,186.9495664855081,309,186.9187623188405,309,0.03080416666762176
11401,r5d.8xlarge, SUSE Linux, eu-west-1,15,222.48914981884133,309,222.45834565217388,309,0.030804166667422805
9757,r5d.8xlarge, Red Hat Enterprise Linux, eu-west-1,15,227.1195664855074,309,227.08876231884068,309,0.030804166666683837
12218,m5n.8xlarge, SUSE Linux, ap-northeast-1,2,130.31128333333342,190,130.28056749999996,190,0.030715833333459838
11085,m5n.8xlarge, Red Hat Enterprise Linux, ap-northeast-1,2,131.66753333333352,190,131.63681750000006,190,0.030715833333459838
11092,m5n.8xlarge, Linux/UNIX, ap-northeast-1,2,106.96753333333298,190,106.93681749999992,190,0.030715833333047726
7703,m5d.metal, Linux/UNIX, ap-northeast-2,2,561.3647833333298,396,561.3343000000001,396,0.03048333332958464
4420,m3.2xlarge, Windows, sa-east-1,9,236.9506083333344,396,236.92022083333336,396,0.030387500000983888
701,r5.large, Linux/UNIX, eu-north-1,3,11.960720833333335,396,11.930491666666672,396,0.030229166666664756
555,r5.large, Red Hat Enterprise Linux, eu-north-1,3,29.06072083333325,322,29.03049166666668,322,0.030229166666572382
11713,r5.large, SUSE Linux, eu-north-1,5,20.36909583333333,182,20.33917916666666,182,0.029916666666665037
