Instance, Product/Description, Migrations, SumStartingInstance, DaysStartingInstance, SumMigrations, DaysMigrations, Difference
g4dn.12xlarge, Red Hat Enterprise Linux, 19, 7107.252499999999, 224, 6801.323699999993, 224, 305.92880000000605
m4.10xlarge, SUSE Linux, 33, 6830.9372, 396, 5750.351899999986, 396, 1080.5853000000143
g3.16xlarge, Windows, 4, 40886.38399999999, 396, 40783.36879999996, 396, 103.01520000003075
t2.micro, Linux/UNIX, 14, 33.309400000000025, 396, 32.963499999999925, 396, 0.3459000000000998
m4.4xlarge, Linux/UNIX, 87, 1720.5298, 396, 1696.2793000000017, 396, 24.250499999998283
t3a.2xlarge, Windows, 15, 2112.6226, 372, 1964.2889999999925, 372, 148.33360000000766
m4.2xlarge, Windows, 8, 4217.112000000002, 396, 4182.909599999984, 396, 34.202400000018315
g3.4xlarge, Red Hat Enterprise Linux, 46, 3850.087599999999, 325, 3612.306599999992, 325, 237.78100000000677
g3.4xlarge, Linux/UNIX, 27, 3283.973799999999, 396, 3239.5763000000197, 396, 44.39749999997912
g3.16xlarge, Red Hat Enterprise Linux, 17, 16581.18, 325, 11488.148299999975, 325, 5093.031700000025
m4.4xlarge, Red Hat Enterprise Linux, 76, 3497.5425999999998, 329, 2417.362400000002, 329, 1080.180199999998
g3.16xlarge, Linux/UNIX, 17, 13006.113199999996, 396, 12939.01680000008, 396, 67.09639999991668
g3.16xlarge, SUSE Linux, 19, 13954.313200000008, 396, 13826.427999999989, 396, 127.88520000001881
t2.micro, Red Hat Enterprise Linux, 17, 516.4240000000002, 329, 487.3476000000002, 329, 29.07639999999998
t2.micro, SUSE Linux, 17, 128.32940000000008, 396, 126.5377999999995, 396, 1.791600000000571
g3.8xlarge, Red Hat Enterprise Linux, 28, 8825.072000000006, 326, 6274.403200000017, 326, 2550.6687999999886
m4.2xlarge, Red Hat Enterprise Linux, 41, 2307.8345, 329, 1639.3796000000002, 329, 668.4548999999997
t3a.2xlarge, Red Hat Enterprise Linux, 19, 1891.9007999999994, 325, 1553.8075999999926, 325, 338.09320000000685
g3.8xlarge, SUSE Linux, 30, 5848.742800000001, 310, 7393.735999999948, 396, -1544.9931999999471
g3.8xlarge, Linux/UNIX, 21, 5106.042799999998, 310, 6468.756000000039, 396, -1362.713200000041
g3.4xlarge, SUSE Linux, 38, 4366.4134, 396, 4299.895400000033, 396, 66.51799999996729
