,start,end,instance
137,2020-08-01 00:00:00+00:00,2020-11-09 11:46:57.564138+00:00,r5a.16xlarge
138,2020-08-01 00:00:00+00:00,2020-11-09 11:54:15.529375+00:00,inf1.xlarge
139,2020-11-08 19:57:48.968544+00:00,2020-11-09 12:10:21.209085+00:00,r5.4xlarge
140,2020-11-08 19:58:13.753798+00:00,2020-11-09 12:10:34.798058+00:00,m4.4xlarge
141,2020-11-08 19:58:36.335996+00:00,2020-11-09 12:10:47.253344+00:00,i3.16xlarge
142,2020-11-08 19:58:58.269950+00:00,2020-11-09 12:10:58.397655+00:00,r5n.12xlarge
143,2020-11-08 19:59:12.985830+00:00,2020-11-09 12:11:09.169706+00:00,c4.4xlarge
144,2020-11-08 19:59:32.218617+00:00,2020-11-09 12:11:20.847606+00:00,g3.8xlarge
145,2020-11-08 19:59:46.763906+00:00,2020-11-09 12:11:32.129680+00:00,m4.16xlarge
146,2020-11-08 20:00:04.134389+00:00,2020-11-09 12:11:44.102054+00:00,m5.8xlarge
147,2020-11-08 20:00:26.144502+00:00,2020-11-09 12:11:55.297880+00:00,r5dn.xlarge
148,2020-11-08 20:00:40.173301+00:00,2020-11-09 12:12:06.199033+00:00,r3.8xlarge
149,2020-11-08 20:00:57.750531+00:00,2020-11-09 12:12:17.295044+00:00,r5.2xlarge
150,2020-11-08 20:01:17.939489+00:00,2020-11-09 12:12:29.293832+00:00,r5d.metal
151,2020-11-08 20:01:35.399230+00:00,2020-11-09 12:12:40.235552+00:00,t2.small
152,2020-11-08 20:01:49.888208+00:00,2020-11-09 12:12:51.196444+00:00,r4.xlarge
153,2020-11-08 20:02:11.408116+00:00,2020-11-09 12:13:03.040452+00:00,m5.12xlarge
154,2020-11-08 20:02:29.759384+00:00,2020-11-09 12:13:15.710000+00:00,m5ad.large
155,2020-11-08 20:02:45.853536+00:00,2020-11-09 12:13:26.905953+00:00,m5dn.2xlarge
156,2020-11-08 20:03:00.567002+00:00,2020-11-09 12:13:38.176881+00:00,c5n.2xlarge
157,2020-11-08 20:03:20.652011+00:00,2020-11-09 12:13:49.898131+00:00,c1.xlarge
158,2020-11-08 20:03:35.716823+00:00,2020-11-09 12:14:00.279495+00:00,r5dn.2xlarge
159,2020-11-08 20:03:59.064331+00:00,2020-11-09 12:14:15.481639+00:00,i3.2xlarge
160,2020-11-08 20:04:18.487675+00:00,2020-11-09 12:14:27.733554+00:00,c4.8xlarge
161,2020-11-08 20:06:42.843183+00:00,2020-11-09 12:14:39.908504+00:00,m5.24xlarge
162,2020-11-08 20:07:10.091566+00:00,2020-11-09 12:14:51.520902+00:00,m5n.2xlarge
163,2020-11-08 20:07:41.843087+00:00,2020-11-09 12:15:02.385080+00:00,m5a.8xlarge
164,2020-11-08 20:08:02.012542+00:00,2020-11-09 12:15:14.257962+00:00,r5a.2xlarge
165,2020-11-08 20:08:19.683343+00:00,2020-11-09 12:15:25.896528+00:00,r4.2xlarge
166,2020-11-08 20:08:37.688086+00:00,2020-11-09 12:15:37.017964+00:00,r5d.2xlarge
167,2020-11-08 20:08:56.739702+00:00,2020-11-09 12:15:48.543977+00:00,m5a.12xlarge
168,2020-11-08 20:09:13.788517+00:00,2020-11-09 12:16:01.093409+00:00,m5.xlarge
169,2020-11-08 20:09:49.756723+00:00,2020-11-09 12:16:13.330386+00:00,r5n.2xlarge
170,2020-11-08 20:10:06.000233+00:00,2020-11-09 12:16:24.422268+00:00,m5d.16xlarge
171,2020-11-08 20:10:25.519569+00:00,2020-11-09 12:16:37.287031+00:00,i3en.24xlarge
172,2020-11-08 20:10:42.381487+00:00,2020-11-09 12:16:48.707002+00:00,c5.2xlarge
173,2020-11-08 20:11:03.867899+00:00,2020-11-09 12:17:04.064294+00:00,c5n.xlarge
174,2020-11-08 20:11:24.948127+00:00,2020-11-09 12:17:15.656330+00:00,m5n.4xlarge
175,2020-11-08 20:11:40.025576+00:00,2020-11-09 12:17:26.457786+00:00,t3a.medium
176,2020-11-08 20:11:53.565370+00:00,2020-11-09 12:17:37.237504+00:00,x1e.32xlarge
177,2020-11-08 20:12:17.275034+00:00,2020-11-09 12:17:48.482303+00:00,c5n.large
178,2020-11-08 20:12:33.788174+00:00,2020-11-09 12:17:59.938630+00:00,g4dn.16xlarge
179,2020-11-08 20:12:49.847528+00:00,2020-11-09 12:18:10.958109+00:00,g4dn.8xlarge
180,2020-11-08 20:13:06.521069+00:00,2020-11-09 12:18:22.241813+00:00,c5d.xlarge
181,2020-11-08 20:13:26.333974+00:00,2020-11-09 12:18:34.290691+00:00,i3.8xlarge
182,2020-11-08 20:13:45.029421+00:00,2020-11-09 12:18:46.740169+00:00,r5n.4xlarge
183,2020-11-08 20:13:59.241034+00:00,2020-11-09 12:18:57.621806+00:00,m5d.2xlarge
184,2020-11-08 20:14:20.047477+00:00,2020-11-09 12:19:10.110123+00:00,m5n.xlarge
185,2020-11-08 20:14:34.336001+00:00,2020-11-09 12:19:25.751799+00:00,r4.8xlarge
186,2020-11-08 20:14:54.433003+00:00,2020-11-09 12:19:37.396566+00:00,z1d.3xlarge
187,2020-11-08 20:15:07.632595+00:00,2020-11-09 12:19:48.525226+00:00,m4.xlarge
188,2020-11-08 20:15:25.091846+00:00,2020-11-09 12:20:00.025004+00:00,c5d.9xlarge
189,2020-11-08 20:15:46.019924+00:00,2020-11-09 12:20:12.245450+00:00,t3.nano
190,2020-11-08 20:16:01.566412+00:00,2020-11-09 12:20:23.359670+00:00,c4.2xlarge
191,2020-11-08 20:16:20.281427+00:00,2020-11-09 12:20:34.892220+00:00,z1d.xlarge
192,2020-11-08 20:16:33.790725+00:00,2020-11-09 12:20:45.413383+00:00,r3.4xlarge
193,2020-11-08 20:16:49.572408+00:00,2020-11-09 12:20:56.340544+00:00,r5.8xlarge
194,2020-11-08 20:17:09.498277+00:00,2020-11-09 12:21:09.903094+00:00,c5.xlarge
195,2020-11-08 20:17:49.372231+00:00,2020-11-09 12:21:23.157714+00:00,m5d.4xlarge
196,2020-11-08 20:18:09.960048+00:00,2020-11-09 12:21:36.027165+00:00,d2.2xlarge
197,2020-11-08 20:18:24.725539+00:00,2020-11-09 12:21:47.115554+00:00,m5.4xlarge
198,2020-11-08 20:18:43.796801+00:00,2020-11-09 12:21:59.185619+00:00,r3.xlarge
199,2020-11-08 20:18:57.713430+00:00,2020-11-09 12:22:11.259878+00:00,m5d.12xlarge
200,2020-11-08 20:19:20.325627+00:00,2020-11-09 12:22:23.134888+00:00,m4.2xlarge
201,2020-11-08 20:19:49.262969+00:00,2020-11-09 12:22:34.983158+00:00,g2.8xlarge
202,2020-11-08 20:20:00.365853+00:00,2020-11-09 12:22:45.229957+00:00,i3en.6xlarge
203,2020-11-08 20:20:16.984028+00:00,2020-11-09 12:22:56.513300+00:00,c5.12xlarge
204,2020-11-08 20:20:34.774931+00:00,2020-11-09 12:23:07.931825+00:00,t3.small
205,2020-11-08 20:20:51.010485+00:00,2020-11-09 12:23:20.715013+00:00,m5ad.12xlarge
206,2020-11-08 20:21:07.982908+00:00,2020-11-09 12:23:32.116876+00:00,m5n.24xlarge
207,2020-11-08 20:21:20.656463+00:00,2020-11-09 12:23:42.647957+00:00,m5d.large
208,2020-11-08 20:21:38.384295+00:00,2020-11-09 12:23:54.354852+00:00,m5ad.2xlarge
209,2020-11-08 20:22:15.441282+00:00,2020-11-09 12:24:06.355335+00:00,m5a.2xlarge
210,2020-11-08 20:22:40.149121+00:00,2020-11-09 12:24:19.689998+00:00,g4dn.4xlarge
211,2020-11-08 20:22:54.067690+00:00,2020-11-09 12:24:35.649998+00:00,t3a.small
212,2020-11-08 20:23:09.851512+00:00,2020-11-09 12:24:46.770874+00:00,r5a.xlarge
213,2020-11-08 20:23:26.392752+00:00,2020-11-09 12:24:57.980162+00:00,c5d.metal
214,2020-11-08 20:23:43.485879+00:00,2020-11-09 12:25:09.519821+00:00,d2.4xlarge
215,2020-11-08 20:23:58.191466+00:00,2020-11-09 12:25:21.278631+00:00,r5n.large
216,2020-11-08 20:24:10.421026+00:00,2020-11-09 12:25:31.678042+00:00,m5dn.24xlarge
217,2020-11-08 20:24:24.327132+00:00,2020-11-09 12:25:42.897084+00:00,m5a.xlarge
218,2020-11-08 20:24:41.364527+00:00,2020-11-09 12:25:54.342685+00:00,r3.2xlarge
219,2020-11-08 20:24:56.721930+00:00,2020-11-09 12:26:05.388943+00:00,r5d.8xlarge
220,2020-11-08 20:25:15.914151+00:00,2020-11-09 12:26:17.667923+00:00,m5dn.8xlarge
221,2020-11-08 20:25:29.677593+00:00,2020-11-09 12:26:28.411454+00:00,r4.16xlarge
222,2020-11-08 20:25:52.339198+00:00,2020-11-09 12:26:40.344953+00:00,r5a.4xlarge
223,2020-11-08 20:26:08.884462+00:00,2020-11-09 12:26:52.313456+00:00,x1e.16xlarge
224,2020-11-08 20:26:26.182167+00:00,2020-11-09 12:27:03.698104+00:00,z1d.metal
225,2020-11-08 20:26:39.514880+00:00,2020-11-09 12:27:14.633742+00:00,r5d.xlarge
226,2020-11-08 20:26:55.790869+00:00,2020-11-09 12:27:26.509788+00:00,m5d.8xlarge
227,2020-11-08 20:27:13.678759+00:00,2020-11-09 12:27:38.244219+00:00,i3.metal
228,2020-11-08 20:27:25.373785+00:00,2020-11-09 12:27:48.573028+00:00,z1d.2xlarge
229,2020-11-08 20:27:43.832842+00:00,2020-11-09 12:27:59.338902+00:00,i3.xlarge
230,2020-11-08 20:28:00.454076+00:00,2020-11-09 12:28:10.851096+00:00,d2.xlarge
231,2020-11-08 20:28:13.880439+00:00,2020-11-09 12:28:21.849723+00:00,r4.4xlarge
232,2020-11-08 20:28:30.438341+00:00,2020-11-09 12:28:33.350156+00:00,m1.medium
233,2020-11-08 20:28:41.528723+00:00,2020-11-09 12:28:44.510972+00:00,i3en.large
